,age,comment,hashtags,likes/views,link,mentions,type
0,3 HOURS AGO,"[sound on] 🎶 This isn’t a phase mahm, I’m a VSCOrgi now",,"15,026",https://www.instagram.com/p/B4GjT7Egt7R/,,video
1,3 DAYS AGO,"What would you do if you opened your door and saw a bunch of corgi hot dogs hanging out on your steps?? 🌭🌭🌭⁣
⁣
Photo by @bobthefluffycorgi",,"20,707",https://www.instagram.com/p/B39ssYmAcON/,@bobthefluffycorgi,photo
2,OCTOBER 10,May I have some ketchup please? #sadhotdog 😢🌭,#sadhotdog,"27,579",https://www.instagram.com/p/B3cUNCRARBi/,,photo
3,OCTOBER 1,"When I grow up I’m gonna be a 🥖 ⁣⁣
⁣#bigdreams⁣
⁣
What did you want to be when you were smol? 🤗",#bigdreams,"24,601",https://www.instagram.com/p/B3FY3bcAjW8/,,photo
4,SEPTEMBER 30,"Can’t go to work today, there’s a corgo sleeping on my arm 🤷‍♂️",,"14,176",https://www.instagram.com/p/B3CsrRgAILp/,,photo
5,SEPTEMBER 24,Do you need someone to talk to? I’m all ears!,,"59,705",https://www.instagram.com/p/B2y-BDtgxRj/,,video
6,SEPTEMBER 22,"When your fur-nancial advisor says you need to start saving treatos instead of just eating them. 😱⁣
⁣
We're really hoping to add a second corgi to our family this year, so I'm partnering with @greendotbank and using the unlimited cash back bank account to start saving up! See link in bio to learn more 👀 #worthsavingfor",#worthsavingfor,"13,583",https://www.instagram.com/p/B2vByjBgkcv/,@greendotbank,photo
7,SEPTEMBER 21,The best kind of plans are canceled plans 😎,,"12,355",https://www.instagram.com/p/B2sZ-UVgiY9/,,photo
8,SEPTEMBER 19,Oh no someone threw a loaf of bread in the water 😱🍞,,"12,873",https://www.instagram.com/p/B2mrb7UgMeZ/,,photo
9,SEPTEMBER 18,"Just hanging out in my new jacuzzi 🛁😎
⁣
Geordi gets a bath once every 5-6 weeks. How often do you wash your dogs?",,"11,027",https://www.instagram.com/p/B2ksuvVAG60/,,photo
