,age,comment,likes/views,link,hashtags
0,1 DAY AGO,"ralphthecorgi
I heard that moms LOVE spa treatments so I showered Mahm with my signature facial for Mother’s Day! 🧖🏻‍♀️ #NothingLikeAGoodTasteBudExfoliation #AlwaysTipYourFurapist
Happy Mother’s Day to all the ladies out there who ensure that their children, both furry and not so furry, are safe and loved each day. ❤️","11,890 likes",https://www.instagram.com/p/BxYTUpoAFST/,"['#NothingLikeAGoodTasteBudExfoliation', '#AlwaysTipYourFurapist']"
1,4 DAYS AGO,"ralphthecorgi
WARNING: if you look too deeply into Georgie’s big brown eyes, you may find yourself emptying your bank account to give him all the treats. #CantSayIDidntWarnYa 🤷‍♂️ #TakeoverByGeorge #GorgeousGeorge","14,085 likes",https://www.instagram.com/p/BxQj4jWgTAC/,"['#CantSayIDidntWarnYa', '#TakeoverByGeorge', '#GorgeousGeorge']"
2,MAY 5,"ralphthecorgi
That time I drank Georgie’s beer then blamed the piñata. 😏 #CorgoDeMayo #OldieButAGoodie #RalphandGeorge","11,985 likes",https://www.instagram.com/p/BxF_w57AtOX/,"['#CorgoDeMayo', '#OldieButAGoodie', '#RalphandGeorge']"
3,MAY 3,"ralphthecorgi
[Tap for Sound] We were born for the booty werk. #LeftCheekRightCheek 🍑 #RalphandGeorge","17,514 views",https://www.instagram.com/p/BxARXIwAe16/,"['#LeftCheekRightCheek', '#RalphandGeorge']"
4,APRIL 30,"ralphthecorgi
George be like: I find a loaf, Mahm! I can eats? 🥖 #TakeoverByGeorge #GorgeousGeorge #RalphandGeorge 👬","6,954 likes",https://www.instagram.com/p/Bw4rYNTAU2k/,"['#TakeoverByGeorge', '#GorgeousGeorge', '#RalphandGeorge']"
5,APRIL 26,"ralphthecorgi
Life’s been good to us! If we won the multi-million dollar jackpot by playing the #SuperLottoPlus from @CALottery, we’d make sure all the doggos in need in Sacramento had loving homes, the necessary medical care, and all the comforts they deserve. What’s your dream? #OtherThanToBeTreatedByDogtorGeorge #DreamTodayForADollar #ad","8,296 likes",https://www.instagram.com/p/BwuOqP9AJEk/,"['#SuperLottoPlus', '#OtherThanToBeTreatedByDogtorGeorge', '#DreamTodayForADollar', '#ad']"
6,APRIL 24,"ralphthecorgi
It’s officially that time of year, my friends: when the temperature hits 90 degrees and my junk needs cooling. 🥵 #YaFeelMe? #JunkCoolingWeather #IThinkIMissedMyCallingAsAWeatherman #EnjoyTheCorgiFlavoredAirYall","37,897 views",https://www.instagram.com/p/Bwqffr5g7wO/,"['#YaFeelMe', '#JunkCoolingWeather', '#IThinkIMissedMyCallingAsAWeatherman', '#EnjoyTheCorgiFlavoredAirYall']"
7,APRIL 22,"ralphthecorgi
Keep the earth clean, friends! It’s not Uranus! 🤓🌎 #EarthDay #RalphandGeorge 👬","10,080 likes",https://www.instagram.com/p/BwkjD3ZAcW5/,"['#EarthDay', '#RalphandGeorge']"
8,APRIL 21,"ralphthecorgi
Chick this out: some bunny fell asleep waiting for the Easter Bunny! 🐥 🐰 Hoppy Easter, friends! 💐 #RalphandGeorge 👬","11,210 likes",https://www.instagram.com/p/Bwh-QB9gQkp/,['#RalphandGeorge']
9,APRIL 17,"ralphthecorgi
Helloaf! Have a really good day, k? #LoveYouBye 😘 #RalphandGeorge 👬","14,352 likes",https://www.instagram.com/p/BwXObPqglAl/,"['#LoveYouBye', '#RalphandGeorge']"
10,APRIL 15,"ralphthecorgi
George McStumps, Corgified Pawblic Accountant. 💰 #PleaseMakeTreatsPayableToMyMouf 🤓 #TakeoverByGeorge","16,673 likes",https://www.instagram.com/p/BwS7bmngmwz/,"['#PleaseMakeTreatsPayableToMyMouf', '#TakeoverByGeorge']"
11,APRIL 15,"ralphthecorgi
Get out there and make Monday your biatch! Just like I did to George. 🤪 #WhenLoavesAttack #RalphandGeorge","24,355 views",https://www.instagram.com/p/BwSAMQDg15f/,"['#WhenLoavesAttack', '#RalphandGeorge']"
12,APRIL 12,"ralphthecorgi
The #TouchTheFloofTour continues! 🥳 NEXT STOP: LA, motherpuppers!! ✨ We’ll be attending @petconofficial on June 22nd and we can’t wait to finally meet all our So Cal friends!

Tickets are available at petcon.co! See you there! 🤗","11,779 likes",https://www.instagram.com/p/BwK9P-uAo2C/,['#TouchTheFloofTour']
13,APRIL 11,"ralphthecorgi
Throwback to a couple weeks ago, when Mahm loaded us into the Grandparentals’ car. Unbeknownst to us, the parentals were sending us off to the Grandparentals’ house so they could take a two week family vacay without us. (RUDE!) In true Ralphie fashion, I was happy go lucky and none the wiser, while Georgie was worried as furk and staring deep into Mahm’s soul over the betrayal. 🤪😶 #RalphandGeorge #PartyRalph #WorriedGeorge
Swipe to see George quickly change his tune once he realizes that he doesn’t want to break Mahm’s heart and make her worry about him the entire trip. ♥️","12,499 likes",https://www.instagram.com/p/BwHv5gngBFy/,"['#RalphandGeorge', '#PartyRalph', '#WorriedGeorge']"
14,APRIL 9,"ralphthecorgi
Helloaf friends!! We’re sorry for going MIA on you for a while there. Our parentals abandoned us at Grandma’s while they jetted off to Hong Kong and China for a two week vacay. 😫 While they were in HK, they played with our handsome Frenchie cousin @thatseblife and they saw three corgis! Finally when they arrived at HK airport to return home to us, a couple ladies looked at my parentals and exclaimed, “YOU’RE RALPH AND GEORGE’S MOM AND DAD!!” They had recognized Broham and Seester, as they’ve following our account since back in the day when Broham was born! It’s a small corgi loving world! Swipe to see some of their trip and Mahm will be posting more about the trip over at @loavesandlittles. Also, thanks fur all the messages of concern while we were gone; we felt the loaf and we’re so glad to be back with you! #MuchLoaf","16,973 likes",https://www.instagram.com/p/BwDFmjCg94e/,['#MuchLoaf']
15,MARCH 28,"ralphthecorgi
Georgie eagerly awaiting the announcement of who the good boy is. 🧐 #MaybeThatDoggoAcrossTheStreet #OrIsItLassieAgain #MostDefinitelyNotRalphie #WillTheWorldEverKnow? #TakeoverByGeorge","16,277 likes",https://www.instagram.com/p/BvkUu6fA7yc/,"['#MaybeThatDoggoAcrossTheStreet', '#OrIsItLassieAgain', '#MostDefinitelyNotRalphie', '#WillTheWorldEverKnow', '#TakeoverByGeorge']"
16,MARCH 23,"ralphthecorgi
Happy #NationalPuppyDay from #BabyGeorge and #BabyRalph! 🤗 #StumpNuggets 📸: @gwyndolyns","13,982 likes",https://www.instagram.com/p/BvXNb-ZAaOK/,"['#NationalPuppyDay', '#BabyGeorge', '#BabyRalph', '#StumpNuggets']"
17,MARCH 20,"ralphthecorgi
When you realize it’s only Wednesday. 😣 #ICantGoOn #LeaveMeHere #SaveYourself","23,986 views",https://www.instagram.com/p/BvPACulAR9L/,"['#ICantGoOn', '#LeaveMeHere', '#SaveYourself']"
