,age,comment,hashtags,likes/views,link,mentions,type
0,6 HOURS AGO,"Happy Gotcha Day to my brother from another mother!! It’s been 5 years since you made me the happiest loaf in the land. Although we’re no longer dashing, young whippersnappers, there’s no one else I’d rather grow gray and loafier with. I loaf you, Georgie. #MyLoafmate #RalphandGeorge 👬 #Furever ♥️","['#MyLoafmate', '#RalphandGeorge', '#Furever']","8,385",https://www.instagram.com/p/B4GPq0RJ1OO/,,photo
1,1 DAY AGO,"So uh, who’s gonna tell Broham the pumpkin he painstakingly selected is dented as furk? 🎃😬 #NotIt <swipe> #JustShutUpAndSmile #CorgiBroham #RalphandGeorge 👬","['#NotIt', '#JustShutUpAndSmile', '#CorgiBroham', '#RalphandGeorge']","9,426",https://www.instagram.com/p/B4Dh2BaphO5/,,photo
2,4 DAYS AGO,We’re gonna need more pumpkins. 🎃 #StumpkinSquad #BasicWitch #RalphandGeorge 👬,"['#StumpkinSquad', '#BasicWitch', '#RalphandGeorge']","9,867",https://www.instagram.com/p/B37up9tpdWa/,,photo
3,6 DAYS AGO,Yogurt eyes. 👀,,"20,731",https://www.instagram.com/p/B32IcDLpZ0b/,,video
4,OCTOBER 17,When your mom is *literally* the worst. 🎃 #FURKYOUMAHM #ICantEvenLookAtYou #WaitFurIt #TheStumpkins #RalphandGeorge 👬,"['#FURKYOUMAHM', '#ICantEvenLookAtYou', '#WaitFurIt', '#TheStumpkins', '#RalphandGeorge']","24,366",https://www.instagram.com/p/B3uopD9pEwf/,,video
5,OCTOBER 16,"Another day, another attempt by George to pee on our Halloween lawn corgi. Today we both settled on peeing near a pumpkin stake. 🎃 #AllInADaysWorkForACorg #Only2CorgsAllowedInThisHouse #TheSlightlyBurntLoafHasSpoken #RalphandGeorge 👬","['#AllInADaysWorkForACorg', '#Only', '#TheSlightlyBurntLoafHasSpoken', '#RalphandGeorge']","10,438",https://www.instagram.com/p/B3sNDM5pZaB/,,video
6,OCTOBER 15,"Trick or treat? 🎃 Our vote is always for TREAT when it comes to @NudgesDogTreats! #WillDressLikeAStumpkinForTreats
Nudges Dog Treats are made in the USA and with simple natural ingredients, so you can feel as good about giving them to your furry friends as they do gobblin’ them up! #ad","['#WillDressLikeAStumpkinForTreats', '#ad']","7,670",https://www.instagram.com/p/B3pWDzlgvWc/,@NudgesDogTreats,photo
7,OCTOBER 14,We give these Halloween decorations a tinkle out of 10! 🎃 #SorryNotSorry #StepItUpNextYearPeople,"['#SorryNotSorry', '#StepItUpNextYearPeople']","25,198",https://www.instagram.com/p/B3mZsVqA5wX/,,video
8,OCTOBER 12,Ball is life. 🎾 #TakeoverByGeorge #DerpyGeorge,"['#TakeoverByGeorge', '#DerpyGeorge']","20,049",https://www.instagram.com/p/B3hl2oZA-Ga/,,video
9,OCTOBER 11,When your human can’t even be bothered to find a real pumpkin to use as a prop. 🎃 #AreYouFurkingKiddingMe? #WeCantWorkUnderTheseConditions #AmateurHourUpInHere 🙄 #ButThenSheMentionedSheHadTreats 😉 (swipe) #RalphandGeorge 👬,"['#AreYouFurkingKiddingMe', '#WeCantWorkUnderTheseConditions', '#AmateurHourUpInHere', '#ButThenSheMentionedSheHadTreats', '#RalphandGeorge']","12,204",https://www.instagram.com/p/B3fNruNpBuN/,,photo
