,age,comment,likes/views,link,hashtags
0,1 DAY AGO,"sneakersthecorgi
You could give your mom fragrant flowers, but I'm giving mine smiles, fluff, and lethally smelly farts. 🌸 #HappyMothersDay","3,074 likes",https://www.instagram.com/p/BxY3nKoHKbV/,['#HappyMothersDay']
1,MAY 4,"sneakersthecorgi
May you chew your toys with reckless abandon. ✨ May you nap so hard you put your paws up in the air. ✨ May you savor every last treat. ✨ And may the fur-ce be with you. ✨
#MayThe4thBeWithYou
#sneakersthecorgi","2,438 likes",https://www.instagram.com/p/BxC7C0hhbFz/,"['#MayThe', '#sneakersthecorgi']"
2,MAY 2,"sneakersthecorgi
Caption this photo.
#sneakersthecorgi","4,452 likes",https://www.instagram.com/p/Bw9uXwCh8KG/,['#sneakersthecorgi']
3,APRIL 29,"sneakersthecorgi
I hereby declare that Mondays are cancelled 👑
#sneakersthecorgi","4,096 likes",https://www.instagram.com/p/Bw2EuhcBMQN/,['#sneakersthecorgi']
4,APRIL 22,"sneakersthecorgi
STILL my favorite planet. 🌎 #HappyEarthDay to the best place ever.
#sneakersthecorgi","2,045 likes",https://www.instagram.com/p/Bwkj9-AhZqp/,"['#HappyEarthDay', '#sneakersthecorgi']"
5,APRIL 21,"sneakersthecorgi
Fuzzy wuzzy loaf bunny 🍞🐇
#sneakersthecorgi","3,725 likes",https://www.instagram.com/p/Bwh-lzQB_T7/,['#sneakersthecorgi']
6,APRIL 19,"sneakersthecorgi
Spring has sprung 🐤
Get 10% off + free photo stickers at sneakersthecorgi.com with code BDAY10 🎈
#shopsneakersthecorgi #sneakersthecorgi","3,986 likes",https://www.instagram.com/p/BwddyHrBsM2/,"['#shopsneakersthecorgi', '#sneakersthecorgi']"
7,APRIL 16,"sneakersthecorgi
Yes I'm still wearing my borkday hat cuz it's still my birthday month 🎂
#sneakersthecorgi","3,970 likes",https://www.instagram.com/p/BwV3f2UhVkf/,['#sneakersthecorgi']
8,APRIL 13,"sneakersthecorgi
Feelin' festive 🌈
#WHPvibes #sneakersthecorgi","2,622 likes",https://www.instagram.com/p/BwNyX_chT7L/,"['#WHPvibes', '#sneakersthecorgi']"
9,APRIL 12,"sneakersthecorgi
Whose barkday is it? It's my motherpuppin' barkday!!! 🎉 #SoundOn
Thank you so much for all of the birthday wishes!!!🎈 WUF YOU ALL FUREVER 💖
#sneakersthecorgivideo #sneakersthecorgi","20,160 views",https://www.instagram.com/p/BwLLNjhh1Y7/,"['#SoundOn', '#sneakersthecorgivideo', '#sneakersthecorgi']"
10,APRIL 11,"sneakersthecorgi
For the busy corgi with a full schedule (like me), @FuzzyPetHealth vets will come to your home for veterinary check-ups, vaccinations, and can even send preventative meds by mail. 🏡
You can even use the Fuzzy app to chat directly with vets! 📱
Try Fuzzy by signing up at yourfuzzy.com or download the app from the app store and get $200 off with code SNEAKERS200! 🔖
#yourfuzzy #fuzzypethealth #ad #sneakersthecorgi","1,702 likes",https://www.instagram.com/p/BwIzjUzBzXL/,"['#yourfuzzy', '#fuzzypethealth', '#ad', '#sneakersthecorgi']"
11,APRIL 10,"sneakersthecorgi
The pawfect mini periwinkle blue corgi-print notebook doesn't exi—
😂
Get 10% off everything (including notebooks) at sneakersthecorgi.com with code BDAY10 🎉
#shopsneakersthecorgi #sneakersthecorgi","1,166 likes",https://www.instagram.com/p/BwF8r-Uhtvi/,"['#shopsneakersthecorgi', '#sneakersthecorgi']"
12,APRIL 9,"sneakersthecorgi
When someone reminds you that it's #TongueOutTuesday 👅
It's also 10% off everything (including plushies!) at sneakersthecorgi.com with code BDAY10 + get a free photo sticker set with 👏every 👏 single 👏 order in April!
#shopsneakersthecorgi #sneakersthecorgi","6,869 likes",https://www.instagram.com/p/BwDkrWehN6J/,"['#TongueOutTuesday', '#shopsneakersthecorgi', '#sneakersthecorgi']"
13,APRIL 7,"sneakersthecorgi
When your favorite color is rainbow. 🌈
#WHPFavoriteColor
#sneakersbirthday #sneakersthecorgi","2,294 likes",https://www.instagram.com/p/Bv-oUTiBfTE/,"['#WHPFavoriteColor', '#sneakersbirthday', '#sneakersthecorgi']"
14,APRIL 6,"sneakersthecorgi
Looking ahead to sunny days 🌞 👒 How is your weekend going?
#sneakersthecorgi","3,590 likes",https://www.instagram.com/p/Bv72GgfBB3M/,['#sneakersthecorgi']
15,APRIL 4,"sneakersthecorgi
Today I honor the burrito, that noble handheld roll of deliciousness, by rolling up into its fluffy, nonedible counterpart, the #Furrito! Also sometimes called the #Corgrito or #Corgrrito or #Purrito if you're feline-inclined. How are you celebrating #NationalBurritoDay? 🌯
🎵: @parrygripp
#sneakersthecorgivideo #sneakersthecorgi","18,781 views",https://www.instagram.com/p/Bv2lW1_BYje/,"['#Furrito', '#Corgrito', '#Corgrrito', '#Purrito', '#NationalBurritoDay', '#sneakersthecorgivideo', '#sneakersthecorgi']"
16,APRIL 3,"sneakersthecorgi
April is my birthday month!!!!! 🎉🎁🎈I'm turning TEN! To celebrate, EVERYTHING is 10% off at sneakersthecorgi.com with code BDAY10 + you'll get a free Sneakers photo sticker set!
#shopsneakersthecorgi #sneakersthecorgi","1,494 likes",https://www.instagram.com/p/Bvz8ZgMBokH/,"['#shopsneakersthecorgi', '#sneakersthecorgi']"
17,APRIL 2,"sneakersthecorgi
Don't you love the feeling when your pizza delivery finally arrives 😍🍕
#sneakersthecorgivideo #sneakersthecorgi","15,617 views",https://www.instagram.com/p/BvxjvP4gOS_/,"['#sneakersthecorgivideo', '#sneakersthecorgi']"
18,APRIL 1,"sneakersthecorgi
On this very special day, I'm proud to announce that I'm running fur Paw-resident of the United States in 2020 as a member the National Pizza Paw-rty. As Paw-resident, I'll provide universal pizza deliveries to every person and pet in this great nation. Join me if you believe in pizza for the people! 🍕 #Sneakers2020 🇺🇸
#AprilFools #sneakersthecorgi","3,608 likes",https://www.instagram.com/p/BvuIBdlhsYA/,"['#Sneakers', '#AprilFools', '#sneakersthecorgi']"
19,MARCH 31,"sneakersthecorgi
Sneakers's Theory of Relativity: The larger the pizza relative to an eater's body weight, the greater the joy of said eater. 💡🍕 #ItsScience #SwipeRight #WHPFoodForThought
#sneakersthecorgi","5,772 likes",https://www.instagram.com/p/BvryFSbB3fh/,"['#ItsScience', '#SwipeRight', '#WHPFoodForThought', '#sneakersthecorgi']"
20,MARCH 29,"sneakersthecorgi
LAST day for 15% off apparel at sneakersthecorgi.com with code SPRINGCORGI 🌴 Yep, even our La Croixgi tee for our #LaCroixBois and #LaCroixLadies 💦
#shopsneakersthecorgi #sneakersthecorgi","1,088 likes",https://www.instagram.com/p/Bvm_7KLhhVA/,"['#LaCroixBois', '#LaCroixLadies', '#shopsneakersthecorgi', '#sneakersthecorgi']"
21,MARCH 27,"sneakersthecorgi
Got a beret; am now artist. 👩‍🎨 Swipe to unveil my masterpizza. 🖼️🍕
🎨: @petplaysf
#sneakersthecorgi","6,432 likes",https://www.instagram.com/p/Bvh6O-LhRKJ/,['#sneakersthecorgi']
22,MARCH 26,"sneakersthecorgi
Hey does this coat make my butt look OK? 🧥
#sneakersthecorgivideo #sneakersthecorgi","3,243 likes",https://www.instagram.com/p/BvfNb8rBS8-/,"['#sneakersthecorgivideo', '#sneakersthecorgi']"
23,MARCH 25,"sneakersthecorgi
It doesn't feel like spring yet, but we ""donut"" care cuz shirts are 15% off at sneakersthecorgi.com with code SPRINGCORGI 🍩
--
#shopsneakersthecorgi #sneakersthecorgi","2,479 likes",https://www.instagram.com/p/Bvc_iYoBj5t/,"['#shopsneakersthecorgi', '#sneakersthecorgi']"
24,MARCH 24,"sneakersthecorgi
When literally walking down the hall sparks joy 😂✨
#sneakersthecorgivideo #sneakersthecorgi","28,784 views",https://www.instagram.com/p/BvaVEdYhPWL/,"['#sneakersthecorgivideo', '#sneakersthecorgi']"
