,age,comment,hashtags,likes/views,link,mentions,type
0,7 HOURS AGO,"looking 4 sumpawdy 2 snorgle at the @queensbeststumpydogrescue kissing booth 👄 @socalcorgibeachday
#sneakersthecorgivideo",#sneakersthecorgivideo,"3,935",https://www.instagram.com/p/B4GKTA0gTPS/,"['@queensbeststumpydogrescue', '@socalcorgibeachday']",video
1,3 DAYS AGO,"meet me at @socalcorgibeachday this saturday, 10/26! i'm at the @queensbeststumpydogrescue booth from 10:45-11:15AM with @aquacorg 👟💧
#sneakersthecorgi",#sneakersthecorgi,"2,505",https://www.instagram.com/p/B3-SvBvAcGh/,"['@socalcorgibeachday', '@queensbeststumpydogrescue', '@aquacorg']",photo
2,4 DAYS AGO,"deep thought: why do hoomins get to name their dogs, but we don't get to name our hoomins? 🤔
___
thinking #deepthoughts on my elevated dog cot from @chewy #topdog #chewypartner","['#deepthoughts', '#topdog', '#chewypartner']","2,653",https://www.instagram.com/p/B38feDtAnuf/,@chewy,photo
3,6 DAYS AGO,"tag the furiends you'd wanna cruise with 🐕🐕🐕🐕🐕
___
thank you @hornblower_la_oc for hosting us on this dog-friendly #hornblowerla_oc cruise! 🛥️
___
good treats, good views, good bois/gurls, and great company on the beautiful marina. #hornblowercruises ⚓","['#hornblowerla', '#hornblowercruises']","8,600",https://www.instagram.com/p/B322tj1AqBN/,@hornblower,video
4,OCTOBER 18,"🍑
#sneakersthecorgi",#sneakersthecorgi,"3,791",https://www.instagram.com/p/B3xGJZJAIm9/,,photo
5,OCTOBER 13,"hallo. have we met? i am butterloaf. 🧈🍞
(see ""food name"" highlights)
#sneakersthecorgi",#sneakersthecorgi,"2,941",https://www.instagram.com/p/B3lOJ1UgNf0/,,photo
6,OCTOBER 9,"sneakers... wearing sneakers... on #NationalSneakerDay 👟
#sneakersthecorgi","['#NationalSneakerDay', '#sneakersthecorgi']","4,939",https://www.instagram.com/p/B3a99fqgngf/,,photo
7,OCTOBER 8,"all i wanna do this fall: cuddle 🤗 get 15% off our cuddly plush (& everything else!) at sneakersthecorgi.com with code COZY15
#shopsneakersthecorgi",#shopsneakersthecorgi,"3,863",https://www.instagram.com/p/B3XRHupgbsF/,,photo
8,OCTOBER 7,"welcome to... Jurassic Park 🦖
#sneakersthecorgivideo",#sneakersthecorgivideo,"11,167",https://www.instagram.com/p/B3VVO8pgJ2n/,,video
9,OCTOBER 6,"disapproving corgi disapproves of mondays 🙁
#sneakersthecorgi",#sneakersthecorgi,"2,335",https://www.instagram.com/p/B3TJadIg2wK/,,photo
