,age,comment,likes/views,link,hashtags
0,2 DAYS AGO,"tibbythecorgi
Me When I See Free Samples 😲😲 #WouldYouLikeToTryASampleOfThis- #FurkIDontCareWhatItIs #TheAnswerIsFURKYES","21,327 views",https://www.instagram.com/p/BxVkb9jHSGE/,"['#WouldYouLikeToTryASampleOfThis', '#FurkIDontCareWhatItIs', '#TheAnswerIsFURKYES']"
1,6 DAYS AGO,"tibbythecorgi
It’s Exhausting Being This Furbulous 😴😴😴 #SheNeedsHerBootyIMeanBeautyRest #LookAtHerLittleFoldedArmICant","8,741 likes",https://www.instagram.com/p/BxLhuHPHYjI/,"['#SheNeedsHerBootyIMeanBeautyRest', '#LookAtHerLittleFoldedArmICant']"
2,MAY 5,"tibbythecorgi
Tibby Doing Her Best Drogon Impression 🐉🐲 #ThatIsOneDerpyDragon #GoT #ThatThirdPhotoKillsMe 😂","9,731 likes",https://www.instagram.com/p/BxGhGLzHpNT/,"['#ThatIsOneDerpyDragon', '#GoT', '#ThatThirdPhotoKillsMe']"
3,MAY 3,"tibbythecorgi
Me Waiting For The Clock To Hit 5 Like ⏰ 😶😶😑 #SorryICantDoThatPowerpoint #ImBusyAlready #BusySlacking","11,296 likes",https://www.instagram.com/p/BxAvfApHf-9/,"['#SorryICantDoThatPowerpoint', '#ImBusyAlready', '#BusySlacking']"
4,MAY 2,"tibbythecorgi
Can’t Say No To This Puppy Face 🐶🐶 #LookAtHer #ABallOfSassFromTheBeginning #TBT","6,245 likes",https://www.instagram.com/p/Bw-8B8On2iq/,"['#LookAtHer', '#ABallOfSassFromTheBeginning', '#TBT']"
5,MAY 1,"tibbythecorgi
We have been working with @petcurean in their 2019 #UpliftTheUnderdog campaign to raise awareness of the many dogs in rescue shelters who often get overlooked for adoption because of age, health or behavior issues. Shelters were invited to nominate their most deserving dogs, and voting is now open to the public to help bring even more attention. Below is a list of all the nominees, and there are photos of some behind the first one. To learn more, cast your vote, and show support for these deserving dogs, please visit www.petcurean.com/underdog (link in bio!). The winner in each category will receive a 5-year supply of food from Petcurean, and each finalist is getting 1-year supply of food, a 500lbs food donation to their shelter and Petcurean will even pay for their adoption fee if they are adopted by the end of 2019. Voting is open from April 30 until May 6PST. The winner in each category will be announced on May 7 on @Petcurean’s account.
And if you’re able to consider adopting one of these loveable dogs, or know someone who might be interested, please spread the word!

CATEGORY - BEHAVIOURAL/ EMOTIONAL CHALLENGES

Rocky - Hide-and-seek me!
Lucy - L is for the way I look at you
Radar - I’m a sensitive boy!
Bear - I’ve been in hibernation for a long time…
Ozzy - What’s mine is mine
Kaboo -I’ll shake my boot-y for you!

CATEGORY - SUPER SENIORS!

Fiona - A FINAL forever home – FINALLY?
PJ (Jammies) - Cuddlemonster – that’s me!
Madeline - I’ll be your bingo buddy! Let’s play!
Barney - Won’t you say you love me too?
Charlotte - Who needs 5 senses when you can have 4!
Nubi - I’m pretty fly for an old guy

CATEGORY - MEDICAL/ PHYSICAL CHALLENGES

Archie - Adventure Lover – Seeking Same
Tanner - My superpower is making you smile
Romeo - Where for art thou?
Tamana - Sunshine on Wheels!
Tita - Deaf, blind and FREAKIN FANTASTIC!
Potcake Max - Lets hit the gym together.","3,719 likes",https://www.instagram.com/p/Bw7JqWFn2Nk/,['#UpliftTheUnderdog']
6,APRIL 29,"tibbythecorgi
🥔 Incoming! 🌱🌱 #LookAtTheSizeOfThatStick 😂 #ItWasSoBigAndHeavy #ButThatCantStopHer 😂","4,928 likes",https://www.instagram.com/p/Bw3Frz9n6D7/,"['#LookAtTheSizeOfThatStick', '#ItWasSoBigAndHeavy', '#ButThatCantStopHer']"
7,APRIL 25,"tibbythecorgi
Littlest Potato 🥔 #LookAtHer #GoodnessHerFatLittleCanklesREVERYTHANG","8,517 likes",https://www.instagram.com/p/Bwsyb8XnFA7/,"['#LookAtHer', '#GoodnessHerFatLittleCanklesREVERYTHANG']"
8,APRIL 23,"tibbythecorgi
We The Corg 🏀🏀 Lets Go @raptors!! #JustAThought #HowCuteWouldADoggyBasketballTeamBe?! #IDPayGoodMoneyToWatchThat 😂","3,511 likes",https://www.instagram.com/p/Bwm_ScjnPs0/,"['#JustAThought', '#HowCuteWouldADoggyBasketballTeamBe', '#IDPayGoodMoneyToWatchThat']"
9,APRIL 21,"tibbythecorgi
Happy Easter AND My Birthday Weekend Everybody! To Celebrate, I Scavenged For My Birthday Toys...To See The Whole Video - Follow The Link In My Bio To My YouTube Channel 😘😘😘 #GoOn #DoIt #YouKnowYouWanna","9,113 views",https://www.instagram.com/p/Bwhu-85FT7a/,"['#GoOn', '#DoIt', '#YouKnowYouWanna']"
10,APRIL 20,"tibbythecorgi
Guess Who Turned 6 Today!!! 🎂🎁🎉🎈 #ThisPupperThatsWho I can’t believe my baby is 6 now 😭 how did the time fly by so fast? That also means we’ve been on IG for almost 6 years. Thank you to all our followers for loving and caring about Tibby 😘😘😘we love you guys so much! Tibby sends you her kisses and left some fluff on your clothes.
Tibbys been having a blast today...we took her shopping and she picked out her own toys and treats, and we did let her “Easter egg hunt” for them 😂 (video to follow). She had her all her favourite noms and walkies and cuddles 😝","9,455 likes",https://www.instagram.com/p/BwfUyoLn2wZ/,['#ThisPupperThatsWho']
11,APRIL 19,"tibbythecorgi
Unleashing My Inner Bunny For Easter 🐰🐣🥚🌷🌷#GottaFindAllDaTreats What Are You Guys Up To This Long Weekend?","4,952 likes",https://www.instagram.com/p/Bwcy88Rn6mH/,['#GottaFindAllDaTreats']
12,APRIL 14,"tibbythecorgi
Peanut Butter Nutter 🥜 #SheDoesntLikeLookingAtMeWhileEating #AsIfIWantedToStealHerNoseJuicePeanutButterAnyhow 😂","23,849 views",https://www.instagram.com/p/BwQaooGFN_b/,"['#SheDoesntLikeLookingAtMeWhileEating', '#AsIfIWantedToStealHerNoseJuicePeanutButterAnyhow']"
13,APRIL 12,"tibbythecorgi
Cheat Day Vibes 🍦🥧🍰🎂 #AndForMe #EVERYDAYIsACheatDay 😝","7,082 likes",https://www.instagram.com/p/BwJ2OFMnug9/,"['#AndForMe', '#EVERYDAYIsACheatDay']"
14,APRIL 10,"tibbythecorgi
Happy Way Day Everybody! Starting at 12PM EST, my favorite online home furnishing store @wayfaircanada is having their biggest sale of the year for only 36 hours. Their discounts are even better than Black Friday and there’s free shipping on EVERYTHING. What are you getting on Way Day? Link in bio to shop! #wayday #ad","7,031 likes",https://www.instagram.com/p/BwEwASbHNg1/,"['#wayday', '#ad']"
15,APRIL 2,"tibbythecorgi
Canadian Spring 🇨🇦❄️🌸 What Is Spring Like Where You’re From? #OursIsStillNotHere #ButTheSnowIsReallyPurty","5,863 likes",https://www.instagram.com/p/Bvw9UK6HicY/,"['#OursIsStillNotHere', '#ButTheSnowIsReallyPurty']"
16,APRIL 1,"tibbythecorgi
When You Fall For Someone’s April Fools Joke 😭😛🎾#WhatTheFluffUSOpen #IWasReallyReadyToBeABallGirl #IveBeenTrainingForThisMyWholeLife!!! (See My Stories To See What I Meant 😂)","8,113 likes",https://www.instagram.com/p/Bvu0VC6HBK4/,"['#WhatTheFluffUSOpen', '#IWasReallyReadyToBeABallGirl', '#IveBeenTrainingForThisMyWholeLife']"
17,MARCH 31,"tibbythecorgi
I’m Not InBred, I’m Just InBread 😂🍞🥖 #ShesABeautifulLoaf","5,669 likes",https://www.instagram.com/p/BvsaoljH39K/,['#ShesABeautifulLoaf']
18,MARCH 29,"tibbythecorgi
Corgi ASMR 🍎🍎 #ShortAndSweet #LikeACorgi 😂 #VolumeOnForCrunchies","95,612 views",https://www.instagram.com/p/BvmpLmTHZ4g/,"['#ShortAndSweet', '#LikeACorgi', '#VolumeOnForCrunchies']"
19,MARCH 28,"tibbythecorgi
When You Are So Ready For The Week To Be Over 😴😴 #FurkThisSpreadsheet #TheOnlyKindOfSheetsIWantIsTheKindToSleepIn #WhosWithMe?! 🙋🏻‍♀️🙋🏻‍♀️🙋🏻‍♀️ #TBT","4,846 likes",https://www.instagram.com/p/Bvkw85BnQdy/,"['#FurkThisSpreadsheet', '#TheOnlyKindOfSheetsIWantIsTheKindToSleepIn', '#WhosWithMe', '#TBT']"
20,MARCH 27,"tibbythecorgi
Can’t Wait For Spring 🤗🌸🌼💐🌷🌹🌺🌞🌻 #SoICanPutFlowerOnTibby #AndThenTibbyCanRejectThem #HardToPleasePuppeh","7,775 likes",https://www.instagram.com/p/BviIaAPnMZL/,"['#SoICanPutFlowerOnTibby', '#AndThenTibbyCanRejectThem', '#HardToPleasePuppeh']"
21,MARCH 25,"tibbythecorgi
Who Wants To Cuddle With This Fluff Monster? 👋🏻👋🏻 #AndHaveFluffRuinWateverYoureWearing #MEEEEE","7,773 likes",https://www.instagram.com/p/BvcPRaUnT_7/,"['#AndHaveFluffRuinWateverYoureWearing', '#MEEEEE']"
22,MARCH 21,"tibbythecorgi
Wittle Booty Wiggles 🍑🍑🍑😭 #LittleCorgiBigBooty #TBT","31,173 views",https://www.instagram.com/p/BvSousDHZjD/,"['#LittleCorgiBigBooty', '#TBT']"
23,MARCH 19,"tibbythecorgi
Having Fun, Isn’t Hard, When You’ve Got A Library Card 📚 🤓 #IfYouZoomUp #TibbysReadingABookAbouTCorgis 😂","4,235 likes",https://www.instagram.com/p/BvM-DzdHH6c/,"['#IfYouZoomUp', '#TibbysReadingABookAbouTCorgis']"
24,MARCH 14,"tibbythecorgi
When IG Stops Working 😒😒 #Great #HowAmISupposeToSlackNow? 😜😜😜","8,422 likes",https://www.instagram.com/p/Bu_X1c-Ha7p/,"['#Great', '#HowAmISupposeToSlackNow']"
