,age,comment,likes/views,link,hashtags
0,1 DAY AGO,"winstonthewhitecorgi
Grandmas came to visit NYC for #MothersDay, but it felt more like Winston Appreciation weekend. But that’s what they do, right? It’s never about them - it’s always about others. Thank you for all that you do, especially the 10 lbs of sweet potato weight I happily gained this weekend ❤️ #HappyMothersDay","12,277 likes",https://www.instagram.com/p/BxYB8rZH-WR/,"['#MothersDay', '#HappyMothersDay']"
1,5 DAYS AGO,"winstonthewhitecorgi
🔈CORGI B #winstonsroadtofetch","34,972 views",https://www.instagram.com/p/BxOLD2enM-h/,['#winstonsroadtofetch']
2,MAY 4,"winstonthewhitecorgi
Happy #May4th from your forever fave Corgtrooper #maythe4thbewithyou #starwars","30,025 views",https://www.instagram.com/p/BxCwBIsnyTi/,"['#May', '#maythe', '#starwars']"
3,MAY 3,"winstonthewhitecorgi
🎥🍿😴 #friyay","6,813 likes",https://www.instagram.com/p/BxBfdXbHE_H/,['#friyay']
4,APRIL 30,"winstonthewhitecorgi
Are you scrolling through your feed when in fact you should be looking for a #MothersDay gift? I’ll help you do both... you’re welcome. @venusetfleur #venusetfleur","8,890 likes",https://www.instagram.com/p/Bw5nHdinPfw/,"['#MothersDay', '#venusetfleur']"
5,APRIL 25,"winstonthewhitecorgi
One week later, I’m walking well, eating well, sleeping well, 💩ing well. What can I say, I’m a two-time bionic champ. Thanks for all your well wishes and thoughts. #winstonsroadtofetch","35,879 views",https://www.instagram.com/p/BwssmH5ndGY/,['#winstonsroadtofetch']
6,APRIL 21,"winstonthewhitecorgi
Enjoy this #Easter cowboy classic 🔈 #HappyEaster!","31,283 views",https://www.instagram.com/p/BwhymEjl2q2/,"['#Easter', '#HappyEaster']"
7,APRIL 19,"winstonthewhitecorgi
“Can I get a 2 leg combo for takeout?” 🍗🍗 Thanks again to the amazing staff at @vetsportsmedicine! #winstonsroadtofetch","45,478 views",https://www.instagram.com/p/BwccOWXH0q1/,['#winstonsroadtofetch']
8,APRIL 18,"winstonthewhitecorgi
Today’s left TPLO surgery day! Sad to lose the other pant leg 👖, but excited to gain a new and improved knee! We’ll keep you posted. @vetsportsmedicine #winstonsroadtofetch","28,634 views",https://www.instagram.com/p/BwZUbYPHkmK/,['#winstonsroadtofetch']
9,APRIL 16,"winstonthewhitecorgi
🔈Straight killing it at rehab @caninerehabofnewyork #winstonsroadtofetch","51,055 views",https://www.instagram.com/p/BwVqMsdnpWI/,['#winstonsroadtofetch']
10,APRIL 14,"winstonthewhitecorgi
House Unicorgi ready to take the Iron Throne once and for all. Pledge loyalty now and you’ll be spared. #winstoniscoming 🤣 #gameofthrones #GoT #ready","9,287 likes",https://www.instagram.com/p/BwPtK26HM0N/,"['#winstoniscoming', '#gameofthrones', '#GoT', '#ready']"
11,APRIL 11,"winstonthewhitecorgi
Happy #nationalpetday. Just know that you’re fine as hell and anyone is lucky to have you.","9,780 likes",https://www.instagram.com/p/BwIwjOQHEQL/,['#nationalpetday']
12,APRIL 9,"winstonthewhitecorgi
Who’s the grownup here","26,734 views",https://www.instagram.com/p/BwDbI9kn4Ln/,[]
13,APRIL 2,"winstonthewhitecorgi
Only because you feed me...","9,253 likes",https://www.instagram.com/p/Bvxwue3HKc5/,[]
14,MARCH 27,"winstonthewhitecorgi
First day of rehab ✔️ Dr. Welsh examined me and found that I have some back and neck pain (what can I say, I’m built like a loaf), in addition to sore knees due to the ACL tears. Of course I was the perfect little patient during acupuncture and physical therapy. Thanks to the lovely team at @calanimalrehab for taking such great care of me! #winstonsroadtofetch","10,395 likes",https://www.instagram.com/p/BviH8isnvqZ/,['#winstonsroadtofetch']
